journal
UGC%20Journal%20List%20Group%20II
ERA%202023
ERA%202018
ERA%202015
Norwegian%20register%20level%201
VABB-SHW
PubMed
Norwegian%20register%20level%202
DOAJ
ERIH%20PLUS
Non-APC%20journals
J-STAGE
Nature%20Index%20journals
Norwegian%20register%20level%200
SciELO
UGC%20Journal%20List%20Group%20I
